,0
Crossing,0
Finishing,0
HeadingAccuracy,0
ShortPassing,0
Volleys,0
Dribbling,0
Curve,0
FKAccuracy,0
LongPassing,0
BallControl,0
Acceleration,0
SprintSpeed,0
Agility,0
Reactions,0
Balance,0
ShotPower,0
Jumping,0
Stamina,0
Strength,0
LongShots,0
Aggression,0
Interceptions,0
Positioning,0
Vision,0
Penalties,0
Composure,0
Marking,0
StandingTackle,0
SlidingTackle,0
GKDiving,0
GKHandling,0
GKKicking,0
GKPositioning,0
GKReflexes,0
